trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
653,False,"{'a': 0.2, 'e': 0.03838839801755206}",20,6,26.638942761187717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.2, 'e': 0.038196935083679925}",25,0,36.04085157088834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
655,False,"{'a': 0.2, 'e': 0.038006427075174314}",20,5,25.040700573983436,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.2, 'e': 0.03781686922932508}",30,6,15.44242470416326,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
657,False,"{'a': 0.2, 'e': 0.0376282568071762}",25,19,12.479990434553034,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.2, 'e': 0.037440585093407315}",20,5,22.47506549476312,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.2, 'e': 0.03725384939621581}",20,8,20.212687575981196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.2, 'e': 0.03706804504719951}",30,8,1.6919935910521944,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
661,False,"{'a': 0.2, 'e': 0.036883167401239994}",25,10,-19.142281457193427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
662,False,"{'a': 0.2, 'e': 0.03669921183638653}",20,12,15.55584421777384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.2, 'e': 0.0365161737537404}",20,16,8.925142268319108,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.2, 'e': 0.036334048577339996}",30,14,29.995098387534206,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.2, 'e': 0.03615283175404641}",20,15,12.335147058253842,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.2, 'e': 0.035972518753429654}",30,21,12.303782273812253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.2, 'e': 0.0357931050676553}",30,16,24.7298251965924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.2, 'e': 0.03561458621137187}",25,15,17.9726744405404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.2, 'e': 0.03543695772159864}",20,5,29.699933774607914,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.2, 'e': 0.03526021515761412}",20,6,25.815501996966873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.2, 'e': 0.03508435410084502}",30,22,-27.02094465103682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
672,False,"{'a': 0.2, 'e': 0.03490937015475576}",20,8,21.18512402185262,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.2, 'e': 0.03473525894473856}",20,15,8.025036977555636,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.2, 'e': 0.0345620161180041}",25,14,10.017823255263849,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
675,False,"{'a': 0.2, 'e': 0.03438963734347271}",20,9,16.89773480428415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.2, 'e': 0.03421811831166603}",20,2,9.748110695804735,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
677,False,"{'a': 0.2, 'e': 0.034047454734599344}",25,12,25.334374351807195,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.2, 'e': 0.033877642345674315}",20,6,25.3547377630446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.2, 'e': 0.0337086768995724}",25,8,18.098495225350568,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
680,False,"{'a': 0.2, 'e': 0.033540554172148636}",20,7,21.758040979151318,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.2, 'e': 0.03337326996032608}",20,9,19.92827975535372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
