trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.2, 'e': 0.49658530379140947}",30,0,-154.83713584831867,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
72,False,"{'a': 0.2, 'e': 0.4916441974609651}",30,8,-49.578546768883015,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.2, 'e': 0.4867522559599717}",20,8,-69.08196033513211,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.2, 'e': 0.4819089900902025}",30,19,-6.265538127738752,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.47711391552103444}",25,9,-80.05421933732339,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
76,False,"{'a': 0.2, 'e': 0.4723665527410147}",30,3,-78.22671785217587,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 1}",1
77,False,"{'a': 0.2, 'e': 0.4676664270099093}",20,0,-60.21590922333165,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.463013068311228}",20,0,-52.92204903075431,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.2, 'e': 0.45840601130522357}",30,20,-17.83844515647482,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.4538447952823558}",25,13,18.386624045132063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.44932896411722156}",20,3,0.48970890659483746,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.44485806622294105}",25,7,-3.5868507505815144,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.4404316545059992}",30,2,-39.684890336994236,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.2, 'e': 0.43604928632153556}",25,8,-42.88565755960555,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.43171052342907973}",30,0,-58.45127093059859,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
86,False,"{'a': 0.2, 'e': 0.4274149319487267}",20,0,-42.91546089242711,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.4231620823177489}",20,0,20.53244610078556,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.418951549247639}",20,2,-62.91205885213012,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
89,False,"{'a': 0.2, 'e': 0.4147829116815814}",20,0,-24.48927713693764,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.4106557527523455}",30,8,-194.06621689191752,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 3}",1
91,False,"{'a': 0.2, 'e': 0.40656965974059905}",20,0,-160.8716396759964,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 4}",0
92,False,"{'a': 0.2, 'e': 0.40252422403363597}",25,0,-70.30179291812978,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
93,False,"{'a': 0.2, 'e': 0.39851904108451414}",25,3,31.137639903677332,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.3945537103716011}",20,6,-61.0396784217328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
95,False,"{'a': 0.2, 'e': 0.3906278353585211}",20,0,-29.065794148752474,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.2, 'e': 0.3867410234545012}",20,3,-84.11861253368163,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
97,False,"{'a': 0.2, 'e': 0.382892885975112}",25,17,3.247701377853692,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.37908303810339883}",20,0,6.798868610087091,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.2, 'e': 0.37531109885139957}",25,12,-64.37726035277977,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
100,False,"{'a': 0.2, 'e': 0.3715766910220457}",20,2,-87.89086458586603,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
101,False,"{'a': 0.2, 'e': 0.36787944117144233}",25,11,-22.62294879816591,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.2, 'e': 0.3642189795715233}",20,0,-5.878697635225539,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.3605949401730783}",20,7,11.200953840852591,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.3570069605691474}",30,16,-26.426516455675436,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.3534546819587801}",20,4,9.723118894517382,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.3499377491111553}",25,0,-59.513856762515665,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.3464558103300574}",20,0,-95.58344341969345,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
108,False,"{'a': 0.2, 'e': 0.34300851741870664}",35,0,-125.60999634800334,"{0: 24, 1: 0, 2: 8, 3: 2, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.3395955256449391}",25,3,-48.8966153728992,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.3362164937067333}",20,7,7.554243443498146,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.3328710836980795}",25,0,-41.26926981545191,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.32955896107518906}",30,18,-2.5456039662216305,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.32627979462303947}",20,16,6.9919319442375745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
